loan_amnt,int_rate,fico_score,annual_inc,dti,emp_length,home_ownership,purpose,term,grade,loan_status,issue_date,installment
9241,12.48,756,64575,3.8,8,RENT,credit_card,36 months,B,Fully Paid,2022-04-28,309.06
11314,13.8,782,120313,16.81,1,MORTGAGE,debt_consolidation,60 months,B,Fully Paid,2020-06-27,262.09
23456,12.84,661,26305,15.81,9,MORTGAGE,small_business,36 months,G,Fully Paid,2020-09-20,788.52
17748,13.83,637,20482,10.3,3,RENT,credit_card,36 months,F,Fully Paid,2020-02-23,605.12
1000,13.73,654,61974,32.55,0,MORTGAGE,debt_consolidation,60 months,E,Fully Paid,2022-10-17,23.13
17592,5.0,835,34980,35.95,3,RENT,debt_consolidation,36 months,A,Fully Paid,2021-02-25,527.25
11919,14.55,661,61219,12.88,1,MORTGAGE,debt_consolidation,60 months,E,Fully Paid,2020-05-21,280.74
9584,9.32,701,74927,21.98,6,MORTGAGE,debt_consolidation,36 months,D,Fully Paid,2022-07-19,306.2
19893,7.62,638,20000,22.39,3,RENT,credit_card,36 months,F,Fully Paid,2021-01-26,619.89
23247,7.58,743,97041,23.45,8,MORTGAGE,credit_card,36 months,C,Charged Off,2022-12-14,723.98
22450,13.73,703,26402,9.88,7,RENT,major_purchase,36 months,C,Fully Paid,2022-12-25,764.35
8286,11.11,752,58944,30.52,5,RENT,credit_card,60 months,C,Fully Paid,2020-08-25,180.61
12526,5.27,749,37738,14.45,6,RENT,debt_consolidation,36 months,C,Fully Paid,2020-03-19,376.94
17650,13.91,787,40685,18.38,6,RENT,debt_consolidation,36 months,B,Fully Paid,2021-10-07,602.46
22804,6.24,786,195980,15.02,3,OWN,debt_consolidation,36 months,B,Charged Off,2022-01-02,696.22
11166,12.56,719,74868,13.88,1,MORTGAGE,other,36 months,D,Fully Paid,2020-02-13,373.86
13514,12.95,643,112789,17.23,4,RENT,debt_consolidation,36 months,F,Fully Paid,2020-01-22,455.01
6149,15.54,711,66546,5.51,1,OWN,debt_consolidation,36 months,D,Fully Paid,2022-11-04,214.79
5430,19.13,666,92411,0.0,3,MORTGAGE,home_improvement,36 months,E,Fully Paid,2022-04-07,199.4
21500,6.54,743,80190,13.29,6,RENT,other,60 months,C,Fully Paid,2022-07-15,421.08
25849,11.79,724,71547,7.96,5,MORTGAGE,debt_consolidation,36 months,C,Fully Paid,2022-08-26,855.97
14423,10.89,622,129963,19.38,1,MORTGAGE,debt_consolidation,36 months,G,Charged Off,2020-10-27,471.44
23028,13.73,611,66806,18.47,0,MORTGAGE,debt_consolidation,60 months,G,Charged Off,2020-05-01,532.6
17893,12.86,723,200000,15.11,1,MORTGAGE,debt_consolidation,36 months,C,Fully Paid,2021-10-04,601.68
9839,10.59,791,117286,26.85,0,RENT,debt_consolidation,60 months,B,Fully Paid,2020-07-08,211.92
17891,10.24,785,26965,14.95,4,OWN,credit_card,36 months,B,Charged Off,2020-09-23,579.31
27304,7.53,711,52913,3.33,4,RENT,home_improvement,36 months,D,Fully Paid,2022-04-14,849.7
14713,15.95,735,79059,13.21,2,MORTGAGE,debt_consolidation,36 months,B,Charged Off,2021-05-23,516.9
27517,13.84,602,61768,24.37,2,OWN,credit_card,36 months,G,Fully Paid,2022-09-11,938.33
1000,15.67,708,96839,0.0,4,RENT,debt_consolidation,36 months,D,Fully Paid,2020-04-21,34.99
21575,10.76,779,104601,14.25,1,MORTGAGE,small_business,36 months,B,Fully Paid,2021-07-22,703.89
15696,9.37,779,23116,19.6,2,OWN,small_business,36 months,B,Fully Paid,2022-07-16,501.84
12607,7.69,774,146789,36.22,4,OWN,credit_card,36 months,B,Charged Off,2022-10-25,393.26
15734,13.44,800,42286,24.67,1,MORTGAGE,debt_consolidation,36 months,A,Fully Paid,2020-03-17,533.48
1000,7.84,735,39453,16.06,8,MORTGAGE,other,36 months,C,Fully Paid,2021-11-16,31.26
13242,19.39,787,39364,19.17,7,MORTGAGE,major_purchase,36 months,A,Fully Paid,2020-11-18,488.01
17856,6.77,803,105451,0.0,4,MORTGAGE,debt_consolidation,36 months,B,Fully Paid,2020-07-07,549.47
26823,13.09,730,49664,6.6,2,MORTGAGE,debt_consolidation,36 months,D,Fully Paid,2020-03-28,904.94
10853,18.27,781,37628,20.21,2,RENT,debt_consolidation,36 months,B,Fully Paid,2020-10-07,393.83
8532,14.4,657,44499,16.29,1,OWN,debt_consolidation,60 months,E,Fully Paid,2020-02-27,200.3
10985,12.7,746,20000,17.31,2,RENT,debt_consolidation,36 months,B,Fully Paid,2020-07-19,368.54
22323,8.13,739,33205,15.27,4,RENT,credit_card,36 months,C,Charged Off,2020-03-17,700.86
17630,6.47,639,25141,14.96,2,MORTGAGE,debt_consolidation,36 months,F,Fully Paid,2020-06-07,540.1
10761,15.08,777,49591,15.82,9,RENT,debt_consolidation,36 months,A,Fully Paid,2020-01-07,373.46
19106,18.02,802,95314,6.55,10,RENT,debt_consolidation,36 months,A,Fully Paid,2020-12-08,690.92
15776,10.24,762,88230,13.17,7,RENT,debt_consolidation,36 months,A,Charged Off,2022-02-15,510.83
22749,7.44,768,144310,5.05,8,RENT,home_improvement,36 months,B,Fully Paid,2022-03-16,707.01
9383,5.0,720,123473,10.04,3,RENT,credit_card,36 months,D,Fully Paid,2021-01-19,281.22
12378,8.08,749,41356,24.57,7,MORTGAGE,debt_consolidation,36 months,C,Charged Off,2020-08-27,388.34
11863,11.55,733,60678,13.55,1,MORTGAGE,debt_consolidation,60 months,B,Charged Off,2020-05-21,261.2
3291,18.4,702,58525,19.77,10,MORTGAGE,home_improvement,60 months,C,Fully Paid,2020-03-02,84.29
17368,14.69,735,20000,15.92,7,RENT,other,36 months,C,Charged Off,2021-06-15,599.43
17088,13.22,757,25537,11.92,3,RENT,credit_card,36 months,B,Fully Paid,2020-12-22,577.57
15040,10.4,745,53257,6.93,8,MORTGAGE,debt_consolidation,60 months,B,Charged Off,2020-08-04,322.52
13123,9.67,726,53049,11.8,0,RENT,credit_card,36 months,B,Fully Paid,2021-06-16,421.41
3677,17.62,722,85701,16.47,4,RENT,debt_consolidation,36 months,C,Fully Paid,2022-03-07,132.23
11634,12.8,767,82830,19.64,9,MORTGAGE,debt_consolidation,36 months,B,Fully Paid,2021-11-29,390.88
12258,5.0,765,20000,15.98,3,MORTGAGE,debt_consolidation,60 months,B,Fully Paid,2021-02-08,231.32
8581,9.31,745,86078,20.2,7,RENT,debt_consolidation,36 months,B,Fully Paid,2022-04-20,274.11
13709,8.57,749,67847,2.84,4,MORTGAGE,other,60 months,B,Fully Paid,2022-10-10,281.72
18232,9.81,763,92629,21.93,4,RENT,major_purchase,36 months,B,Fully Paid,2020-01-02,586.67
30089,14.25,753,126349,5.97,7,RENT,debt_consolidation,60 months,B,Fully Paid,2021-09-18,704.02
16396,11.57,626,54175,22.87,9,RENT,other,36 months,G,Fully Paid,2021-07-23,541.22
17060,11.69,781,143187,19.02,2,RENT,debt_consolidation,60 months,B,Fully Paid,2020-08-12,376.82
14404,17.25,749,32125,0.04,3,MORTGAGE,credit_card,36 months,C,Fully Paid,2022-05-02,515.34
1000,9.21,628,30883,20.9,5,MORTGAGE,credit_card,36 months,F,Fully Paid,2021-10-22,31.9
14787,19.46,806,80832,22.96,6,MORTGAGE,credit_card,36 months,A,Fully Paid,2020-06-17,545.48
15481,9.31,747,46252,25.06,5,OWN,debt_consolidation,36 months,C,Charged Off,2022-06-01,494.53
34705,12.36,709,71907,8.85,8,RENT,other,36 months,E,Fully Paid,2022-06-09,1158.68
13461,10.88,809,200000,16.44,8,MORTGAGE,debt_consolidation,36 months,B,Fully Paid,2021-03-11,439.93
17412,12.49,704,78861,20.56,4,MORTGAGE,credit_card,36 months,E,Fully Paid,2022-07-13,582.41
14722,13.78,730,69460,20.89,0,MORTGAGE,home_improvement,60 months,C,Fully Paid,2022-12-29,340.88
5650,13.74,664,32582,18.28,2,MORTGAGE,small_business,36 months,E,Charged Off,2020-03-06,192.39
24142,8.99,795,20000,11.59,5,RENT,debt_consolidation,36 months,A,Fully Paid,2020-09-10,767.6
21015,7.51,788,56909,22.9,9,MORTGAGE,home_improvement,60 months,A,Fully Paid,2021-10-20,421.2
21328,22.01,841,126349,22.95,6,RENT,debt_consolidation,36 months,A,Fully Paid,2020-03-04,814.64
7724,10.06,639,47759,13.77,5,RENT,home_improvement,36 months,G,Fully Paid,2022-05-12,249.45
26222,14.8,692,79302,8.73,7,MORTGAGE,home_improvement,36 months,E,Fully Paid,2022-05-06,906.43
3785,5.57,756,162518,9.18,2,MORTGAGE,debt_consolidation,60 months,C,Fully Paid,2022-10-22,72.42
19694,10.88,767,159701,25.92,1,RENT,debt_consolidation,36 months,C,Fully Paid,2022-09-22,643.64
32523,11.49,782,80835,22.61,3,OWN,debt_consolidation,36 months,B,Fully Paid,2021-09-20,1072.32
7075,13.89,766,67445,14.84,10,MORTGAGE,debt_consolidation,60 months,B,Fully Paid,2020-07-25,164.22
10469,5.0,784,20680,13.41,9,MORTGAGE,credit_card,60 months,B,Charged Off,2021-06-09,197.56
15797,12.66,724,38517,0.85,7,RENT,other,36 months,D,Fully Paid,2022-12-17,529.68
10972,7.4,717,49191,14.32,4,RENT,credit_card,36 months,C,Fully Paid,2022-11-08,340.79
2594,13.3,788,32970,5.47,6,MORTGAGE,credit_card,60 months,C,Fully Paid,2021-12-21,59.42
15548,7.85,667,71247,16.27,3,MORTGAGE,other,36 months,E,Fully Paid,2022-09-29,486.14
6501,8.58,830,200000,24.48,7,RENT,credit_card,36 months,A,Fully Paid,2021-11-14,205.46
18788,10.91,796,173239,7.16,4,RENT,debt_consolidation,36 months,A,Fully Paid,2021-04-09,614.29
7644,7.79,703,71019,16.91,1,MORTGAGE,home_improvement,60 months,E,Fully Paid,2021-01-11,154.23
27399,10.1,741,103321,22.98,2,MORTGAGE,credit_card,36 months,C,Charged Off,2022-03-10,885.38
8733,7.23,681,35953,16.76,6,OWN,other,60 months,D,Charged Off,2020-07-07,173.87
12423,5.0,761,166852,10.81,7,MORTGAGE,small_business,60 months,C,Fully Paid,2020-12-02,234.44
21508,16.07,769,20062,15.08,1,RENT,other,36 months,C,Fully Paid,2022-06-03,756.9
5153,6.82,799,113434,22.66,8,OWN,debt_consolidation,36 months,A,Fully Paid,2020-10-31,158.69
16819,11.29,757,84703,17.1,8,MORTGAGE,debt_consolidation,36 months,C,Fully Paid,2020-02-02,552.95
25457,15.01,786,35273,14.97,7,RENT,credit_card,60 months,A,Fully Paid,2020-03-18,605.75
2140,9.54,771,51732,24.25,7,MORTGAGE,debt_consolidation,36 months,B,Fully Paid,2022-02-24,68.59
16477,8.7,822,27065,19.12,2,RENT,credit_card,36 months,A,Fully Paid,2020-05-22,521.67
17079,12.9,777,27885,5.38,9,RENT,home_improvement,60 months,B,Fully Paid,2022-08-06,387.73
21254,16.47,660,20000,20.05,3,RENT,credit_card,60 months,F,Fully Paid,2022-08-21,522.18
5104,7.32,670,102463,22.6,2,RENT,debt_consolidation,60 months,F,Fully Paid,2020-12-17,101.84
4436,11.4,833,139210,5.1,6,MORTGAGE,credit_card,36 months,A,Fully Paid,2020-02-07,146.07
19175,5.07,672,20000,0.0,4,RENT,home_improvement,36 months,F,Fully Paid,2022-02-02,575.29
17375,10.43,686,200000,6.66,9,RENT,credit_card,36 months,E,Fully Paid,2021-06-13,564.16
17003,12.14,739,59372,14.18,5,MORTGAGE,major_purchase,36 months,C,Fully Paid,2022-08-19,565.88
17771,8.58,743,73342,23.08,2,MORTGAGE,other,36 months,C,Charged Off,2021-02-11,561.65
9559,10.17,744,21360,7.87,10,RENT,debt_consolidation,36 months,B,Fully Paid,2021-02-01,309.21
16858,6.37,715,150930,19.44,5,OWN,other,36 months,D,Fully Paid,2021-05-10,515.68
17344,12.31,747,68883,0.0,5,MORTGAGE,debt_consolidation,36 months,B,Fully Paid,2021-11-17,578.64
9285,16.22,792,132876,16.44,4,MORTGAGE,credit_card,36 months,A,Fully Paid,2020-10-13,327.44
29926,7.61,635,140730,11.75,8,RENT,other,36 months,G,Fully Paid,2021-10-02,932.4
18790,9.51,672,152422,31.79,3,RENT,credit_card,60 months,E,Fully Paid,2020-09-07,394.72
5469,14.01,798,38032,0.0,0,RENT,debt_consolidation,36 months,B,Fully Paid,2020-09-01,186.94
20252,16.85,799,51762,14.88,5,RENT,debt_consolidation,36 months,A,Fully Paid,2022-12-09,720.53
7202,6.03,674,39019,0.0,9,RENT,small_business,60 months,F,Fully Paid,2022-02-24,139.34
21296,11.32,794,112035,10.6,3,RENT,debt_consolidation,36 months,A,Fully Paid,2022-11-07,700.44
24268,13.13,797,75585,1.39,3,MORTGAGE,major_purchase,36 months,A,Fully Paid,2020-12-20,819.21
8434,11.59,793,126551,33.41,7,RENT,home_improvement,36 months,B,Fully Paid,2022-10-16,278.48
22707,5.0,706,130472,12.16,8,MORTGAGE,other,60 months,D,Fully Paid,2020-03-03,428.51
18302,14.0,687,20000,13.31,4,RENT,debt_consolidation,60 months,E,Fully Paid,2020-11-09,425.86
21576,18.08,731,154128,14.66,8,MORTGAGE,debt_consolidation,36 months,C,Fully Paid,2022-11-16,780.89
30174,12.47,694,116494,5.94,2,MORTGAGE,debt_consolidation,36 months,C,Charged Off,2021-05-29,1009.0
13036,7.88,788,46237,23.44,4,MORTGAGE,credit_card,36 months,A,Fully Paid,2020-11-24,407.78
8970,9.95,799,76485,20.12,4,RENT,debt_consolidation,36 months,B,Fully Paid,2020-12-25,289.23
7883,19.08,806,54908,22.34,3,MORTGAGE,debt_consolidation,60 months,A,Fully Paid,2021-05-09,204.84
8473,15.64,787,92156,5.26,2,RENT,other,36 months,B,Fully Paid,2020-01-29,296.38
14383,14.56,818,46167,24.08,3,RENT,credit_card,36 months,A,Fully Paid,2022-04-26,495.5
17729,13.43,695,83721,23.16,0,MORTGAGE,debt_consolidation,36 months,E,Charged Off,2020-08-08,601.04
17213,9.36,741,62762,13.14,7,MORTGAGE,credit_card,36 months,D,Fully Paid,2021-04-18,550.26
21617,11.2,733,44243,22.16,7,MORTGAGE,credit_card,36 months,C,Fully Paid,2021-11-08,709.76
15104,11.69,679,68397,17.18,5,MORTGAGE,credit_card,36 months,F,Fully Paid,2020-11-04,499.44
26628,14.2,783,200000,2.25,3,RENT,credit_card,36 months,B,Fully Paid,2022-05-15,912.67
12882,18.04,658,37053,13.54,4,RENT,credit_card,60 months,F,Fully Paid,2021-03-28,327.4
36761,16.47,758,50263,11.15,9,MORTGAGE,debt_consolidation,36 months,A,Fully Paid,2021-03-27,1300.95
20005,6.32,718,37508,15.68,6,MORTGAGE,debt_consolidation,36 months,D,Fully Paid,2022-10-02,611.5
8142,12.9,788,40366,23.17,7,MORTGAGE,home_improvement,36 months,B,Fully Paid,2022-03-11,273.94
6432,14.95,804,105983,1.87,2,RENT,credit_card,36 months,A,Fully Paid,2020-01-30,222.81
18859,14.48,735,98826,11.45,1,RENT,other,36 months,D,Fully Paid,2022-03-28,648.96
13212,9.48,765,59628,8.43,1,MORTGAGE,debt_consolidation,36 months,C,Fully Paid,2022-03-01,423.1
20712,23.66,644,122811,8.77,5,OWN,debt_consolidation,60 months,F,Charged Off,2021-02-02,591.76
18785,6.89,772,104340,8.42,7,RENT,debt_consolidation,36 months,B,Fully Paid,2020-11-12,579.08
14417,7.67,704,53442,15.55,8,MORTGAGE,debt_consolidation,36 months,D,Fully Paid,2020-07-16,449.58
8225,12.93,641,20461,19.19,7,MORTGAGE,debt_consolidation,36 months,F,Charged Off,2020-09-09,276.86
2881,20.47,741,107028,17.79,9,MORTGAGE,debt_consolidation,36 months,C,Fully Paid,2022-09-28,107.76
11427,8.66,744,67424,16.49,1,OWN,credit_card,36 months,C,Fully Paid,2022-10-26,361.57
21851,10.94,728,60812,19.97,9,MORTGAGE,debt_consolidation,36 months,B,Fully Paid,2022-03-03,714.75
16712,16.31,619,43207,34.04,7,MORTGAGE,debt_consolidation,36 months,G,Fully Paid,2021-12-08,590.11
5034,11.93,748,100836,16.09,2,RENT,credit_card,60 months,C,Fully Paid,2020-06-29,111.8
16385,10.66,652,76415,23.17,7,RENT,other,36 months,F,Fully Paid,2020-07-08,533.79
18082,14.26,738,50727,22.71,5,MORTGAGE,debt_consolidation,36 months,C,Fully Paid,2022-04-15,620.29
7929,13.09,659,25391,29.22,4,MORTGAGE,debt_consolidation,36 months,E,Fully Paid,2021-09-04,267.5
16229,16.12,713,126443,19.48,2,MORTGAGE,credit_card,36 months,C,Fully Paid,2020-10-15,571.53
15465,17.17,759,91439,8.25,5,RENT,debt_consolidation,36 months,B,Fully Paid,2022-02-13,552.68
5856,13.23,703,71595,17.44,2,MORTGAGE,debt_consolidation,36 months,C,Fully Paid,2021-06-01,197.96
17862,13.17,679,20000,17.01,1,MORTGAGE,other,36 months,E,Fully Paid,2020-01-13,603.3
19486,12.86,783,58306,21.52,8,OWN,major_purchase,36 months,A,Fully Paid,2021-02-01,655.25
23664,13.96,774,50572,8.01,6,RENT,home_improvement,36 months,B,Fully Paid,2020-05-02,808.32
23430,12.22,638,38834,25.13,4,RENT,debt_consolidation,60 months,F,Charged Off,2022-04-02,523.8
3978,12.0,731,101515,15.04,4,RENT,debt_consolidation,36 months,B,Fully Paid,2020-01-13,132.13
7497,16.79,750,98755,21.72,9,MORTGAGE,credit_card,36 months,B,Fully Paid,2022-01-03,266.51
19120,18.06,773,81289,17.48,3,OWN,home_improvement,36 months,B,Fully Paid,2021-02-14,691.81
19110,5.97,785,123812,15.98,4,MORTGAGE,credit_card,36 months,B,Fully Paid,2022-06-12,581.1
19120,12.04,764,29272,16.87,8,MORTGAGE,debt_consolidation,36 months,B,Fully Paid,2022-08-06,635.42
40000,9.25,685,43583,20.38,2,RENT,debt_consolidation,36 months,E,Fully Paid,2020-07-01,1276.65
19567,10.76,766,63092,30.67,7,MORTGAGE,debt_consolidation,36 months,B,Fully Paid,2022-11-11,638.38
24084,13.61,705,38738,0.0,4,MORTGAGE,other,36 months,D,Fully Paid,2022-01-16,818.58
22632,14.68,753,99610,19.32,5,MORTGAGE,credit_card,36 months,B,Fully Paid,2020-12-01,781.0
20211,11.55,769,41541,15.35,8,OWN,debt_consolidation,36 months,B,Fully Paid,2020-06-30,666.96
12477,5.0,667,148577,13.58,10,MORTGAGE,other,60 months,E,Fully Paid,2021-11-21,235.46
21071,8.14,827,31200,0.0,8,RENT,other,36 months,A,Fully Paid,2022-07-05,661.65
8817,15.59,696,200000,19.64,2,OWN,credit_card,60 months,D,Charged Off,2020-07-23,212.5
13105,5.0,743,200000,14.0,2,OWN,credit_card,36 months,C,Fully Paid,2021-11-23,392.77
11117,16.75,718,56031,8.32,4,OWN,debt_consolidation,36 months,C,Fully Paid,2020-02-20,394.97
15654,14.08,736,133561,15.34,7,MORTGAGE,debt_consolidation,36 months,C,Fully Paid,2020-10-28,535.63
33517,17.26,719,45238,12.66,5,RENT,credit_card,36 months,C,Fully Paid,2020-03-03,1199.31
1000,11.21,788,121698,1.06,9,RENT,major_purchase,36 months,A,Fully Paid,2021-04-27,32.84
20490,5.0,789,52934,15.71,0,MORTGAGE,credit_card,60 months,B,Fully Paid,2022-01-31,386.67
2098,13.72,799,24347,19.64,3,RENT,debt_consolidation,36 months,A,Fully Paid,2022-08-03,71.42
11224,17.1,726,20000,10.61,2,OWN,credit_card,36 months,D,Fully Paid,2022-07-02,400.73
23711,15.7,705,49607,17.09,7,MORTGAGE,major_purchase,60 months,D,Fully Paid,2020-05-31,572.83
15514,9.35,724,72790,15.86,5,RENT,home_improvement,60 months,D,Fully Paid,2020-01-16,324.69
6378,12.35,726,151937,23.36,0,RENT,debt_consolidation,36 months,D,Fully Paid,2020-04-04,212.91
9277,9.87,694,61429,14.17,8,RENT,other,36 months,E,Fully Paid,2020-04-02,298.78
20436,8.72,729,120817,21.41,4,MORTGAGE,debt_consolidation,60 months,D,Fully Paid,2022-07-13,421.45
9157,15.82,779,43575,12.49,3,MORTGAGE,debt_consolidation,36 months,B,Charged Off,2020-01-15,321.12
16731,7.21,761,47282,30.74,2,RENT,other,36 months,B,Fully Paid,2021-10-02,518.21
15364,8.42,711,125219,11.51,9,MORTGAGE,credit_card,60 months,C,Fully Paid,2022-05-05,314.62
9787,7.58,724,20000,9.52,9,RENT,home_improvement,36 months,C,Fully Paid,2022-04-29,304.8
32151,6.04,777,60420,14.2,1,RENT,debt_consolidation,36 months,B,Fully Paid,2022-03-22,978.68
20071,12.59,792,45253,9.18,2,MORTGAGE,credit_card,36 months,B,Fully Paid,2022-12-10,672.31
1000,16.65,719,155193,5.01,6,MORTGAGE,other,36 months,D,Fully Paid,2022-05-14,35.48
16491,11.26,763,41366,20.82,7,OWN,debt_consolidation,36 months,B,Fully Paid,2021-10-06,541.93
9705,5.98,701,85957,0.0,4,MORTGAGE,debt_consolidation,36 months,D,Fully Paid,2020-03-30,295.16
21819,15.36,770,114126,9.26,6,RENT,debt_consolidation,36 months,B,Fully Paid,2021-01-25,760.22
8659,18.74,752,21061,4.27,7,OWN,debt_consolidation,60 months,C,Fully Paid,2020-08-04,223.38
14082,9.42,770,54308,16.14,10,MORTGAGE,credit_card,36 months,B,Fully Paid,2020-02-03,450.56
19039,10.09,670,44260,0.0,7,MORTGAGE,debt_consolidation,60 months,E,Fully Paid,2021-01-01,405.37
21926,14.06,753,116123,19.38,1,OWN,credit_card,60 months,B,Fully Paid,2020-06-20,510.86
5397,18.49,605,96043,20.25,7,MORTGAGE,debt_consolidation,36 months,G,Fully Paid,2022-06-24,196.44
12323,9.92,726,50856,1.94,1,RENT,credit_card,36 months,C,Fully Paid,2021-09-13,397.17
11200,6.67,798,28762,16.52,5,MORTGAGE,debt_consolidation,36 months,A,Fully Paid,2020-05-14,344.14
9773,14.53,663,123834,19.13,5,MORTGAGE,credit_card,60 months,E,Fully Paid,2021-03-08,230.09
29123,15.2,698,57104,22.52,8,OWN,home_improvement,36 months,D,Fully Paid,2021-09-05,1012.41
18239,12.02,783,20000,3.25,0,RENT,credit_card,36 months,B,Charged Off,2022-06-06,605.97
4912,9.77,781,20482,2.12,9,MORTGAGE,major_purchase,36 months,B,Fully Paid,2021-04-21,157.97
22342,15.98,773,81335,27.02,7,OWN,other,36 months,C,Fully Paid,2022-09-09,785.26
31977,14.11,716,24512,8.42,0,RENT,small_business,36 months,D,Fully Paid,2022-03-20,1094.61
23259,8.93,651,200000,10.78,2,RENT,other,36 months,E,Fully Paid,2021-07-21,738.87
2845,12.2,739,31071,20.06,0,RENT,debt_consolidation,60 months,B,Fully Paid,2022-06-02,63.57
11126,6.59,772,59859,5.65,8,MORTGAGE,credit_card,36 months,B,Fully Paid,2021-10-23,341.46
25135,14.74,709,66928,12.87,2,MORTGAGE,debt_consolidation,36 months,D,Fully Paid,2021-10-03,868.12
9338,10.95,764,35933,22.13,0,RENT,major_purchase,60 months,B,Fully Paid,2020-05-11,202.8
